Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/api/breed/affenpinscher/images,2,0,66.34688377380371,72.25501537322998,66.34688377380371,78.16314697265625,10602.0,0.003335461493524649,0.0,78,78,78,78,78,78,78,78,78,78,78,78
GET,/api/breed/affenpinscher/images/random,12,0,57,59.39018726348877,50.107717514038086,78.61661911010742,100.41666666666667,0.020012768961147894,0.0,57,60,65,65,67,79,79,79,79,79,79,79
GET,/api/breed/affenpinscher/images/random/13,1,0,69.97561454772949,69.97561454772949,69.97561454772949,69.97561454772949,949.0,0.0016677307467623246,0.0,70,70,70,70,70,70,70,70,70,70,70,70
GET,/api/breed/affenpinscher/images/random/18,1,0,117.81692504882812,117.81692504882812,117.81692504882812,117.81692504882812,1301.0,0.0016677307467623246,0.0,120,120,120,120,120,120,120,120,120,120,120,120
GET,/api/breed/affenpinscher/images/random/24,1,0,49.191951751708984,49.191951751708984,49.191951751708984,49.191951751708984,1722.0,0.0016677307467623246,0.0,49,49,49,49,49,49,49,49,49,49,49,49
GET,/api/breed/affenpinscher/images/random/49,1,0,67.04545021057129,67.04545021057129,67.04545021057129,67.04545021057129,3487.0,0.0016677307467623246,0.0,67,67,67,67,67,67,67,67,67,67,67,67
GET,/api/breed/affenpinscher/images/random/8,1,0,67.39401817321777,67.39401817321777,67.39401817321777,67.39401817321777,598.0,0.0016677307467623246,0.0,67,67,67,67,67,67,67,67,67,67,67,67
GET,/api/breed/african/images,4,0,42,46.95701599121094,38.7883186340332,57.74736404418945,10842.0,0.006670922987049298,0.0,49,49,58,58,58,58,58,58,58,58,58,58
GET,/api/breed/african/images/random,8,0,57,78.63488793373108,48.84600639343262,184.0376853942871,94.0,0.013341845974098597,0.0,62,69,100,100,180,180,180,180,180,180,180,180
GET,/api/breed/african/images/random/20,1,0,64.2385482788086,64.2385482788086,64.2385482788086,64.2385482788086,1308.0,0.0016677307467623246,0.0,64,64,64,64,64,64,64,64,64,64,64,64
