"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1597345555","1","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1597345557","7","","Aggregated",0.00,0.00,140,160,230,230,310,310,310,310,310,310,310,310,12,0,100,136,41,314,1238
"1597345559","13","","Aggregated",4.00,0.00,120,140,150,160,230,310,310,310,310,310,310,310,24,0,100,119,41,314,1736
"1597345561","19","","Aggregated",6.00,0.00,95,140,150,150,200,230,310,310,310,310,310,310,40,0,87,111,41,314,1861
"1597345563","25","","Aggregated",6.50,0.00,76,140,140,140,160,210,230,310,310,310,310,310,56,0,73,104,41,314,1828
"1597345565","31","","Aggregated",6.75,0.00,72,140,140,150,160,200,230,310,310,310,310,310,75,0,72,100,40,314,1990
"1597345567","37","","Aggregated",7.40,0.00,69,130,140,140,160,180,200,210,210,210,210,210,94,0,72,98,40,314,1864
"1597345569","43","","Aggregated",8.10,0.00,64,77,140,140,150,160,170,180,180,180,180,180,122,0,67,93,40,314,1788
"1597345571","45","","Aggregated",9.60,0.00,63,72,120,140,150,160,170,180,180,180,180,180,136,0,66,90,39,314,1782
"1597345573","45","","Aggregated",9.50,0.00,61,72,95,120,140,160,170,180,180,180,180,180,146,0,66,89,39,314,1938
"1597345575","45","","Aggregated",8.90,0.00,59,67,74,86,130,140,160,170,170,170,170,170,167,0,63,85,39,314,1888
"1597345577","45","","Aggregated",8.80,0.00,57,60,67,74,98,140,160,160,160,160,160,160,181,0,60,82,39,314,1837
"1597345579","45","","Aggregated",8.40,0.00,54,59,60,65,83,95,98,110,110,110,110,110,196,0,60,80,39,314,1762
"1597345581","45","","Aggregated",7.40,0.00,54,60,64,66,80,95,98,110,110,110,110,110,215,0,59,78,39,314,1760
"1597345583","45","","Aggregated",7.40,0.00,53,59,61,64,70,72,80,86,86,86,86,86,224,0,59,77,39,314,1725
"1597345585","45","","Aggregated",7.50,0.00,53,60,62,64,70,73,74,86,86,86,86,86,245,0,59,76,39,314,1759
"1597345587","45","","Aggregated",7.60,0.00,54,60,63,64,70,74,86,94,94,94,94,94,258,0,59,75,39,314,1708
"1597345589","45","","Aggregated",7.50,0.00,56,62,65,69,74,79,87,94,94,94,94,94,272,0,59,74,39,314,1645
"1597345592","45","","Aggregated",7.10,0.00,56,62,69,71,79,87,96,260,260,260,260,260,286,0,59,74,39,314,1672
"1597345594","45","","Aggregated",7.40,0.00,55,60,63,69,79,94,100,260,260,260,260,260,301,0,59,73,39,314,1760
"1597345596","45","","Aggregated",7.30,0.00,56,59,64,71,82,94,100,260,260,260,260,260,316,0,58,72,39,314,1718
"1597345598","45","","Aggregated",6.80,0.00,53,57,62,67,82,96,140,260,260,260,260,260,333,0,57,72,39,314,1664
"1597345600","45","","Aggregated",7.40,0.00,54,58,61,66,84,160,240,260,260,260,260,260,349,0,57,72,39,314,1625
"1597345602","45","","Aggregated",7.40,0.00,55,59,63,66,82,140,180,240,240,240,240,240,363,0,58,71,39,314,1689
"1597345604","45","","Aggregated",7.30,0.00,56,59,63,66,78,140,180,240,240,240,240,240,379,0,57,71,39,314,1686
"1597345607","45","","Aggregated",7.10,0.00,57,59,62,64,72,85,180,240,240,240,240,240,397,0,57,70,38,314,1676
"1597345609","45","","Aggregated",7.30,0.00,54,58,61,62,66,72,85,270,270,270,270,270,412,0,57,70,38,314,1674
"1597345611","45","","Aggregated",7.00,0.00,54,59,62,64,74,84,170,270,270,270,270,270,426,0,57,70,38,314,1710
"1597345613","45","","Aggregated",7.40,0.00,53,57,60,62,74,83,170,270,270,270,270,270,445,0,57,69,38,314,1683
"1597345615","45","","Aggregated",7.50,0.00,54,57,60,62,75,83,170,270,270,270,270,270,457,0,57,69,38,314,1705
"1597345617","45","","Aggregated",7.20,0.00,54,57,61,62,75,110,150,170,170,170,170,170,478,0,57,68,38,314,1691
"1597345619","45","","Aggregated",7.40,0.00,53,57,61,62,80,110,150,170,170,170,170,170,492,0,56,68,38,314,1686
"1597345622","45","","Aggregated",7.40,0.00,54,57,62,64,79,150,170,250,250,250,250,250,508,0,56,68,38,314,1656
"1597345624","45","","Aggregated",7.40,0.00,55,59,64,67,85,170,280,310,310,310,310,310,524,0,56,69,38,314,1633
"1597345626","45","","Aggregated",7.30,0.00,57,61,65,68,85,210,280,310,310,310,310,310,540,0,57,69,38,314,1617
"1597345628","45","","Aggregated",7.20,0.00,57,62,66,68,79,210,280,310,310,310,310,310,557,0,57,69,38,314,1594
"1597345630","45","","Aggregated",7.10,0.00,57,61,65,67,79,200,280,310,310,310,310,310,570,0,57,69,38,314,1576
"1597345633","45","","Aggregated",6.90,0.00,57,60,65,66,77,96,200,210,210,210,210,210,587,0,56,68,38,314,1563
"1597345635","45","","Aggregated",7.40,0.00,55,59,62,66,70,95,130,250,250,250,250,250,604,0,56,68,38,314,1545
"1597345637","45","","Aggregated",7.30,0.00,54,57,60,62,68,95,130,250,250,250,250,250,615,0,56,68,38,314,1530
"1597345639","45","","Aggregated",7.50,0.00,52,55,58,60,67,77,96,250,250,250,250,250,629,0,56,67,38,314,1513
"1597345641","45","","Aggregated",6.60,0.00,52,55,57,60,68,69,81,250,250,250,250,250,651,0,56,67,38,314,1526
"1597345643","45","","Aggregated",6.70,0.00,51,55,58,61,68,69,81,190,190,190,190,190,661,0,56,67,38,314,1521
"1597345646","45","","Aggregated",7.10,0.00,50,54,60,62,69,71,190,200,200,200,200,200,675,0,55,67,38,314,1509
"1597345648","45","","Aggregated",6.60,0.00,53,57,61,63,69,75,190,200,200,200,200,200,696,0,55,66,38,314,1528
"1597345650","45","","Aggregated",7.30,0.00,54,59,63,65,81,190,300,320,320,320,320,320,712,0,55,67,38,316,1542
"1597345652","45","","Aggregated",7.20,0.00,55,59,63,64,75,180,300,320,320,320,320,320,730,0,55,67,38,316,1565
"1597345655","45","","Aggregated",7.30,0.00,55,58,61,64,75,84,300,320,320,320,320,320,745,0,55,66,38,316,1554
"1597345657","45","","Aggregated",7.90,0.00,56,59,64,67,77,180,300,320,320,320,320,320,764,0,55,66,38,316,1567
"1597345659","45","","Aggregated",8.00,0.00,56,60,64,66,74,79,180,240,240,240,240,240,776,0,56,66,38,316,1554
"1597345661","45","","Aggregated",7.30,0.00,56,60,64,66,72,79,240,320,320,320,320,320,796,0,55,66,38,323,1544
"1597345663","45","","Aggregated",7.70,0.00,57,60,67,70,77,87,240,320,320,320,320,320,816,0,56,66,38,323,1561
"1597345666","45","","Aggregated",8.00,0.00,56,59,64,70,79,87,120,320,320,320,320,320,831,0,55,66,38,323,1544
"1597345668","45","","Aggregated",7.90,0.00,55,59,69,70,79,120,280,320,320,320,320,320,846,0,55,66,38,323,1530
"1597345670","45","","Aggregated",7.10,0.00,55,59,65,69,79,87,220,280,280,280,280,280,865,0,56,66,38,323,1532
"1597345672","45","","Aggregated",7.60,0.00,54,57,60,65,78,85,220,280,280,280,280,280,878,0,55,66,38,323,1541
"1597345674","45","","Aggregated",7.10,0.00,57,59,66,68,84,100,220,280,280,280,280,280,895,0,56,66,38,323,1547
"1597345677","45","","Aggregated",7.60,0.00,56,59,63,66,78,93,100,220,220,220,220,220,912,0,55,66,38,323,1533
"1597345679","45","","Aggregated",7.60,0.00,53,58,63,66,78,93,100,290,290,290,290,290,928,0,55,66,38,323,1528
"1597345681","45","","Aggregated",7.10,0.00,54,59,64,66,89,93,100,290,290,290,290,290,943,0,55,66,38,323,1536
"1597345683","45","","Aggregated",7.50,0.00,53,58,64,64,74,89,97,290,290,290,290,290,964,0,55,66,38,323,1554
"1597345686","45","","Aggregated",7.60,0.00,55,63,64,65,86,89,97,290,290,290,290,290,980,0,55,65,38,323,1541
"1597345688","45","","Aggregated",7.60,0.00,58,63,64,67,86,89,97,360,360,360,360,360,995,0,56,66,38,359,1535
"1597345690","45","","Aggregated",7.30,0.00,58,64,67,70,79,97,100,360,360,360,360,360,1014,0,56,66,38,359,1538
"1597345692","45","","Aggregated",7.50,0.00,58,63,66,68,79,97,100,360,360,360,360,360,1026,0,56,66,38,359,1530
"1597345695","45","","Aggregated",7.20,0.00,58,62,67,70,86,100,310,360,360,360,360,360,1045,0,56,66,38,359,1562
"1597345697","45","","Aggregated",7.00,0.00,56,60,66,67,80,97,100,310,310,310,310,310,1059,0,56,65,38,359,1556
"1597345699","45","","Aggregated",7.50,0.00,55,59,61,63,73,97,100,310,310,310,310,310,1074,0,56,65,38,359,1585
"1597345701","45","","Aggregated",7.20,0.00,55,59,61,63,71,92,310,320,320,320,320,320,1094,0,56,66,38,359,1561
"1597345703","45","","Aggregated",6.50,0.00,54,58,61,63,70,210,310,320,320,320,320,320,1109,0,55,66,38,359,1571
"1597345706","45","","Aggregated",7.80,0.00,53,58,61,62,72,210,310,320,320,320,320,320,1128,0,55,65,38,359,1572
"1597345708","45","","Aggregated",7.60,0.00,53,58,60,62,72,210,310,320,320,320,320,320,1141,0,55,65,38,359,1587
"1597345710","45","","Aggregated",7.10,0.00,52,57,59,62,70,77,210,220,220,220,220,220,1162,0,55,65,38,359,1575
"1597345713","45","","Aggregated",8.20,0.00,53,57,61,62,71,76,80,100,100,100,100,100,1179,0,55,65,38,359,1574
"1597345715","45","","Aggregated",7.20,0.00,57,65,67,69,76,110,300,320,320,320,320,320,1198,0,55,65,38,359,1568
"1597345717","45","","Aggregated",7.50,0.00,59,65,69,70,83,110,300,320,320,320,320,320,1209,0,55,65,38,359,1571
"1597345720","45","","Aggregated",7.10,0.00,59,65,69,70,83,120,320,410,410,410,410,410,1228,0,55,66,38,412,1573
"1597345722","45","","Aggregated",7.70,0.00,59,64,68,69,83,120,320,410,410,410,410,410,1246,0,55,65,38,412,1581
"1597345724","45","","Aggregated",7.50,0.00,57,60,63,65,71,83,100,410,410,410,410,410,1258,0,55,65,38,412,1571
"1597345727","45","","Aggregated",6.80,0.00,58,62,70,71,88,110,150,150,150,150,150,150,1279,0,56,66,38,412,1570
"1597345729","45","","Aggregated",7.20,0.00,58,63,71,74,100,140,150,360,360,360,360,360,1295,0,56,66,38,412,1561
"1597345731","45","","Aggregated",7.40,0.00,61,69,73,76,100,150,330,360,360,360,360,360,1319,0,56,66,38,412,1554
"1597345734","45","","Aggregated",7.70,0.00,60,64,70,73,85,110,330,360,360,360,360,360,1330,0,56,66,38,412,1562
"1597345736","45","","Aggregated",7.80,0.00,57,62,65,69,74,80,330,360,360,360,360,360,1346,0,56,66,38,412,1562
"1597345738","45","","Aggregated",7.50,0.00,54,60,63,68,73,80,330,380,380,380,380,380,1369,0,56,66,38,412,1564
"1597345741","45","","Aggregated",7.80,0.00,53,60,61,65,73,80,380,420,420,420,420,420,1384,0,56,66,38,422,1564
"1597345743","45","","Aggregated",7.70,0.00,53,59,61,65,72,220,380,420,420,420,420,420,1401,0,56,66,38,422,1556
"1597345745","45","","Aggregated",7.30,0.00,56,61,65,68,80,220,380,420,420,420,420,420,1415,0,56,66,38,422,1554
"1597345747","45","","Aggregated",7.50,0.00,56,62,65,72,79,220,270,420,420,420,420,420,1438,0,56,66,38,422,1559
"1597345750","45","","Aggregated",8.30,0.00,55,58,63,65,76,100,230,270,270,270,270,270,1455,0,55,66,38,422,1572
"1597345752","45","","Aggregated",7.50,0.00,53,56,62,63,75,77,100,270,270,270,270,270,1473,0,55,65,38,422,1565
"1597345754","45","","Aggregated",7.70,0.00,53,56,58,62,67,76,77,270,270,270,270,270,1492,0,55,65,38,422,1554
