"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1597344135","1","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1597344137","1","","Aggregated",0.00,0.00,180,180,180,180,180,180,180,180,180,180,180,180,2,0,78,129,77,181,1082
"1597344139","1","","Aggregated",0.00,0.00,180,180,180,180,180,180,180,180,180,180,180,180,2,0,78,129,77,181,1082
"1597344141","1","","Aggregated",0.00,0.00,180,180,180,180,180,180,180,180,180,180,180,180,2,0,78,129,77,181,1082
"1597344143","1","","Aggregated",0.00,0.00,180,180,180,180,180,180,180,180,180,180,180,180,2,0,78,129,77,181,1082
"1597344145","1","","Aggregated",0.33,0.00,78,78,180,180,180,180,180,180,180,180,180,180,3,0,78,106,61,181,753
"1597344147","1","","Aggregated",0.33,0.00,78,78,180,180,180,180,180,180,180,180,180,180,3,0,78,106,61,181,753
"1597344149","1","","Aggregated",0.33,0.00,61,61,61,61,61,61,61,61,61,61,61,61,3,0,78,106,61,181,753
"1597344151","1","","Aggregated",0.33,0.00,61,61,61,61,61,61,61,61,61,61,61,61,3,0,78,106,61,181,753
"1597344153","1","","Aggregated",0.10,0.00,61,61,61,61,61,61,61,61,61,61,61,61,4,0,61,93,52,181,589
"1597344155","1","","Aggregated",0.10,0.00,61,61,61,61,61,61,61,61,61,61,61,61,4,0,61,93,52,181,589
"1597344157","1","","Aggregated",0.10,0.00,53,53,53,53,53,53,53,53,53,53,53,53,4,0,61,93,52,181,589
"1597344159","1","","Aggregated",0.10,0.00,53,53,53,53,53,53,53,53,53,53,53,53,4,0,61,93,52,181,589
"1597344161","1","","Aggregated",0.10,0.00,54,54,54,54,54,54,54,54,54,54,54,54,5,0,61,85,52,181,935
"1597344163","1","","Aggregated",0.10,0.00,54,54,54,54,54,54,54,54,54,54,54,54,5,0,61,85,52,181,935
"1597344165","1","","Aggregated",0.10,0.00,54,54,54,54,54,54,54,54,54,54,54,54,5,0,61,85,52,181,935
"1597344167","1","","Aggregated",0.10,0.00,57,57,57,57,57,57,57,57,57,57,57,57,6,0,57,80,52,181,789
"1597344169","1","","Aggregated",0.10,0.00,57,57,57,57,57,57,57,57,57,57,57,57,6,0,57,80,52,181,789
"1597344171","1","","Aggregated",0.10,0.00,57,57,57,57,57,57,57,57,57,57,57,57,6,0,57,80,52,181,789
"1597344173","1","","Aggregated",0.10,0.00,57,57,57,57,57,57,57,57,57,57,57,57,6,0,57,80,52,181,789
"1597344175","1","","Aggregated",0.10,0.00,57,57,57,57,57,57,57,57,57,57,57,57,7,0,57,75,46,181,972
"1597344177","1","","Aggregated",0.10,0.00,57,57,57,57,57,57,57,57,57,57,57,57,7,0,57,75,46,181,972
"1597344179","1","","Aggregated",0.20,0.00,58,58,58,58,58,58,58,58,58,58,58,58,8,0,57,73,46,181,862
"1597344181","1","","Aggregated",0.20,0.00,58,58,58,58,58,58,58,58,58,58,58,58,8,0,57,73,46,181,862
"1597344183","1","","Aggregated",0.20,0.00,58,58,98,98,98,98,98,98,98,98,98,98,9,0,58,76,46,181,996
"1597344185","1","","Aggregated",0.20,0.00,98,98,98,98,98,98,98,98,98,98,98,98,9,0,58,76,46,181,996
"1597344187","1","","Aggregated",0.20,0.00,58,58,98,98,98,98,98,98,98,98,98,98,10,0,57,73,46,181,907
"1597344189","1","","Aggregated",0.20,0.00,98,98,98,98,98,98,98,98,98,98,98,98,10,0,57,73,46,181,907
"1597344191","1","","Aggregated",0.20,0.00,98,98,98,98,98,98,98,98,98,98,98,98,10,0,57,73,46,181,907
"1597344193","1","","Aggregated",0.20,0.00,60,60,98,98,98,98,98,98,98,98,98,98,11,0,58,72,46,181,833
"1597344194","0","","Aggregated",0.20,0.00,60,60,60,60,60,60,60,60,60,60,60,60,11,0,58,72,46,181,833
