Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/api/breed/african/images/random,1,0,55.71317672729492,55.71317672729492,55.71317672729492,55.71317672729492,94.0,0.004194985433433807,0.0,56,56,56,56,56,56,56,56,56,56,56,56
GET,/api/breed/african/images/random/12,1,0,76.16686820983887,76.16686820983887,76.16686820983887,76.16686820983887,799.0,0.004194985433433807,0.0,76,76,76,76,76,76,76,76,76,76,76,76
GET,/api/breed/airedale/images/random,1,0,58.814287185668945,58.814287185668945,58.814287185668945,58.814287185668945,95.0,0.004194985433433807,0.0,59,59,59,59,59,59,59,59,59,59,59,59
GET,/api/breed/akita/images/random/6,1,0,57.92498588562012,57.92498588562012,57.92498588562012,57.92498588562012,403.0,0.004194985433433807,0.0,58,58,58,58,58,58,58,58,58,58,58,58
GET,/api/breed/appenzeller/images/random,1,0,56.88953399658203,56.88953399658203,56.88953399658203,56.88953399658203,98.0,0.004194985433433807,0.0,57,57,57,57,57,57,57,57,57,57,57,57
GET,/api/breed/australian/list,1,0,54.038286209106445,54.038286209106445,54.038286209106445,54.038286209106445,43.0,0.004194985433433807,0.0,54,54,54,54,54,54,54,54,54,54,54,54
GET,/api/breed/basenji/images/random/21,1,0,70.06120681762695,70.06120681762695,70.06120681762695,70.06120681762695,1371.0,0.004194985433433807,0.0,70,70,70,70,70,70,70,70,70,70,70,70
GET,/api/breed/basenji/images/random/46,1,0,50.68182945251465,50.68182945251465,50.68182945251465,50.68182945251465,2972.0,0.004194985433433807,0.0,51,51,51,51,51,51,51,51,51,51,51,51
GET,/api/breed/beagle/images/random,1,0,70.9991455078125,70.9991455078125,70.9991455078125,70.9991455078125,94.0,0.004194985433433807,0.0,71,71,71,71,71,71,71,71,71,71,71,71
GET,/api/breed/bluetick/images/random/9,1,0,54.4123649597168,54.4123649597168,54.4123649597168,54.4123649597168,611.0,0.004194985433433807,0.0,54,54,54,54,54,54,54,54,54,54,54,54
GET,/api/breed/borzoi/images/random,1,0,70.57619094848633,70.57619094848633,70.57619094848633,70.57619094848633,93.0,0.004194985433433807,0.0,71,71,71,71,71,71,71,71,71,71,71,71
GET,/api/breed/borzoi/images/random/4,1,0,55.739641189575195,55.739641189575195,55.739641189575195,55.739641189575195,285.0,0.004194985433433807,0.0,56,56,56,56,56,56,56,56,56,56,56,56
GET,/api/breed/borzoi/images/random/58,1,0,60.63199043273926,60.63199043273926,60.63199043273926,60.63199043273926,3686.0,0.004194985433433807,0.0,61,61,61,61,61,61,61,61,61,61,61,61
GET,/api/breed/borzoi/images/random/7,1,0,48.048973083496094,48.048973083496094,48.048973083496094,48.048973083496094,474.0,0.004194985433433807,0.0,48,48,48,48,48,48,48,48,48,48,48,48
GET,/api/breed/boxer/images/random,1,0,54.03447151184082,54.03447151184082,54.03447151184082,54.03447151184082,92.0,0.004194985433433807,0.0,54,54,54,54,54,54,54,54,54,54,54,54
GET,/api/breed/brabancon/images/random,2,0,70.05047798156738,73.31037521362305,70.05047798156738,76.57027244567871,95.5,0.008389970866867614,0.0,77,77,77,77,77,77,77,77,77,77,77,77
GET,/api/breed/briard/images,1,0,62.13855743408203,62.13855743408203,62.13855743408203,62.13855743408203,9599.0,0.004194985433433807,0.0,62,62,62,62,62,62,62,62,62,62,62,62
GET,/api/breed/briard/images/random,1,0,53.728580474853516,53.728580474853516,53.728580474853516,53.728580474853516,93.0,0.004194985433433807,0.0,54,54,54,54,54,54,54,54,54,54,54,54
GET,/api/breed/buhund/list,5,0,63,59.095048904418945,41.72563552856445,70.52278518676758,44.0,0.020974927167169036,0.0,63,66,66,71,71,71,71,71,71,71,71,71
GET,/api/breed/buhund/norwegian/images/random,2,0,58,60.781002044677734,57.89828300476074,63.66372108459473,95.0,0.008389970866867614,0.0,64,64,64,64,64,64,64,64,64,64,64,64
GET,/api/breed/bulldog/boston/images/random,1,0,51.71561241149902,51.71561241149902,51.71561241149902,51.71561241149902,101.0,0.004194985433433807,0.0,52,52,52,52,52,52,52,52,52,52,52,52
GET,/api/breed/bulldog/boston/images/random/47,1,0,54.7184944152832,54.7184944152832,54.7184944152832,54.7184944152832,3372.0,0.004194985433433807,0.0,55,55,55,55,55,55,55,55,55,55,55,55
GET,/api/breed/bulldog/french/images/random,1,0,54.72397804260254,54.72397804260254,54.72397804260254,54.72397804260254,99.0,0.004194985433433807,0.0,55,55,55,55,55,55,55,55,55,55,55,55
GET,/api/breed/bulldog/french/images/random/40,1,0,50.99964141845703,50.99964141845703,50.99964141845703,50.99964141845703,2857.0,0.004194985433433807,0.0,51,51,51,51,51,51,51,51,51,51,51,51
GET,/api/breed/bulldog/list,2,0,45.41134834289551,47.711849212646484,45.41134834289551,50.01235008239746,60.0,0.008389970866867614,0.0,50,50,50,50,50,50,50,50,50,50,50,50
GET,/api/breed/bullterrier/list,5,0,57,55.29227256774902,42.7403450012207,71.43545150756836,48.0,0.020974927167169036,0.0,57,60,60,71,71,71,71,71,71,71,71,71
GET,/api/breed/bullterrier/staffordshire/images/random,2,0,53.27916145324707,56.56170845031738,53.27916145324707,59.844255447387695,112.0,0.008389970866867614,0.0,60,60,60,60,60,60,60,60,60,60,60,60
GET,/api/breed/bullterrier/staffordshire/images/random/22,1,0,56.21504783630371,56.21504783630371,56.21504783630371,56.21504783630371,1836.0,0.004194985433433807,0.0,56,56,56,56,56,56,56,56,56,56,56,56
GET,/api/breed/bullterrier/staffordshire/images/random/56,1,0,55.91869354248047,55.91869354248047,55.91869354248047,55.91869354248047,4622.0,0.004194985433433807,0.0,56,56,56,56,56,56,56,56,56,56,56,56
GET,/api/breed/cairn/images/random/52,1,0,49.00026321411133,49.00026321411133,49.00026321411133,49.00026321411133,3255.0,0.004194985433433807,0.0,49,49,49,49,49,49,49,49,49,49,49,49
GET,/api/breed/cattledog/australian/images/random,1,0,85.76774597167969,85.76774597167969,85.76774597167969,85.76774597167969,101.0,0.004194985433433807,0.0,86,86,86,86,86,86,86,86,86,86,86,86
GET,/api/breed/chihuahua/images,2,0,42,99.3337631225586,41.7325496673584,156.9349765777588,10063.0,0.008389970866867614,0.0,160,160,160,160,160,160,160,160,160,160,160,160
GET,/api/breed/chihuahua/images/random,2,0,64.02778625488281,67.30210781097412,64.02778625488281,70.57642936706543,96.0,0.008389970866867614,0.0,71,71,71,71,71,71,71,71,71,71,71,71
GET,/api/breed/chihuahua/images/random/57,1,0,54.77786064147949,54.77786064147949,54.77786064147949,54.77786064147949,3798.0,0.004194985433433807,0.0,55,55,55,55,55,55,55,55,55,55,55,55
GET,/api/breed/chow/images/random,1,0,70.6794261932373,70.6794261932373,70.6794261932373,70.6794261932373,91.0,0.004194985433433807,0.0,71,71,71,71,71,71,71,71,71,71,71,71
GET,/api/breed/collie/border/images,1,0,57.001590728759766,57.001590728759766,57.001590728759766,57.001590728759766,10603.0,0.004194985433433807,0.0,57,57,57,57,57,57,57,57,57,57,57,57
GET,/api/breed/collie/border/images/random/23,1,0,57.71207809448242,57.71207809448242,57.71207809448242,57.71207809448242,1625.0,0.004194985433433807,0.0,58,58,58,58,58,58,58,58,58,58,58,58
GET,/api/breed/collie/border/images/random/6,1,0,50.157785415649414,50.157785415649414,50.157785415649414,50.157785415649414,449.0,0.004194985433433807,0.0,50,50,50,50,50,50,50,50,50,50,50,50
GET,/api/breed/collie/list,2,0,53.47442626953125,57.51979351043701,53.47442626953125,61.56516075134277,41.0,0.008389970866867614,0.0,62,62,62,62,62,62,62,62,62,62,62,62
GET,/api/breed/coonhound/images/random/8,1,0,59.514760971069336,59.514760971069336,59.514760971069336,59.514760971069336,557.0,0.004194985433433807,0.0,60,60,60,60,60,60,60,60,60,60,60,60
GET,/api/breed/corgi/cardigan/images/random,1,0,51.995277404785156,51.995277404785156,51.995277404785156,51.995277404785156,101.0,0.004194985433433807,0.0,52,52,52,52,52,52,52,52,52,52,52,52
GET,/api/breed/corgi/cardigan/images/random/39,1,0,62.731027603149414,62.731027603149414,62.731027603149414,62.731027603149414,2810.0,0.004194985433433807,0.0,63,63,63,63,63,63,63,63,63,63,63,63
GET,/api/breed/corgi/cardigan/images/random/49,1,0,57.25598335266113,57.25598335266113,57.25598335266113,57.25598335266113,3526.0,0.004194985433433807,0.0,57,57,57,57,57,57,57,57,57,57,57,57
GET,/api/breed/corgi/list,1,0,50.6284236907959,50.6284236907959,50.6284236907959,50.6284236907959,43.0,0.004194985433433807,0.0,51,51,51,51,51,51,51,51,51,51,51,51
GET,/api/breed/cotondetulear/images/random/43,1,0,50.54116249084473,50.54116249084473,50.54116249084473,50.54116249084473,302.0,0.004194985433433807,0.0,51,51,51,51,51,51,51,51,51,51,51,51
GET,/api/breed/dalmatian/images,1,0,61.017751693725586,61.017751693725586,61.017751693725586,61.017751693725586,150.0,0.004194985433433807,0.0,61,61,61,61,61,61,61,61,61,61,61,61
GET,/api/breed/dane/list,2,0,41.1076545715332,49.95417594909668,41.1076545715332,58.800697326660156,40.0,0.008389970866867614,0.0,59,59,59,59,59,59,59,59,59,59,59,59
GET,/api/breed/deerhound/list,5,0,52,51.54900550842285,45.583248138427734,59.77773666381836,43.0,0.020974927167169036,0.0,52,52,52,60,60,60,60,60,60,60,60,60
GET,/api/breed/deerhound/scottish/images/random/39,1,0,56.01811408996582,56.01811408996582,56.01811408996582,56.01811408996582,2956.0,0.004194985433433807,0.0,56,56,56,56,56,56,56,56,56,56,56,56
GET,/api/breed/dhole/images/random/45,1,0,61.10095977783203,61.10095977783203,61.10095977783203,61.10095977783203,2810.0,0.004194985433433807,0.0,61,61,61,61,61,61,61,61,61,61,61,61
GET,/api/breed/doberman/images/random/52,1,0,53.79891395568848,53.79891395568848,53.79891395568848,53.79891395568848,3414.0,0.004194985433433807,0.0,54,54,54,54,54,54,54,54,54,54,54,54
GET,/api/breed/elkhound/list,1,0,77.77595520019531,77.77595520019531,77.77595520019531,77.77595520019531,44.0,0.004194985433433807,0.0,78,78,78,78,78,78,78,78,78,78,78,78
GET,/api/breed/elkhound/norwegian/images/random/24,1,0,49.102783203125,49.102783203125,49.102783203125,49.102783203125,1825.0,0.004194985433433807,0.0,49,49,49,49,49,49,49,49,49,49,49,49
GET,/api/breed/entlebucher/images,2,0,47,51.31113529205322,46.88429832458496,55.737972259521484,13693.0,0.008389970866867614,0.0,56,56,56,56,56,56,56,56,56,56,56,56
GET,/api/breed/entlebucher/images/random,1,0,59.9970817565918,59.9970817565918,59.9970817565918,59.9970817565918,98.0,0.004194985433433807,0.0,60,60,60,60,60,60,60,60,60,60,60,60
GET,/api/breed/eskimo/images/random/24,1,0,58.26520919799805,58.26520919799805,58.26520919799805,58.26520919799805,1545.0,0.004194985433433807,0.0,58,58,58,58,58,58,58,58,58,58,58,58
GET,/api/breed/finnish/lapphund/images/random/23,1,0,52.83975601196289,52.83975601196289,52.83975601196289,52.83975601196289,102.0,0.004194985433433807,0.0,53,53,53,53,53,53,53,53,53,53,53,53
GET,/api/breed/finnish/list,4,0,47,47.21689224243164,42.95039176940918,49.9727725982666,43.0,0.01677994173373523,0.0,49,49,50,50,50,50,50,50,50,50,50,50
GET,/api/breed/frise/bichon/images/random,2,0,61.13791465759277,64.51618671417236,61.13791465759277,67.89445877075195,94.0,0.008389970866867614,0.0,68,68,68,68,68,68,68,68,68,68,68,68
GET,/api/breed/frise/list,1,0,61.46049499511719,61.46049499511719,61.46049499511719,61.46049499511719,41.0,0.004194985433433807,0.0,61,61,61,61,61,61,61,61,61,61,61,61
GET,/api/breed/germanshepherd/images/random,1,0,63.93837928771973,63.93837928771973,63.93837928771973,63.93837928771973,98.0,0.004194985433433807,0.0,64,64,64,64,64,64,64,64,64,64,64,64
GET,/api/breed/germanshepherd/images/random/37,1,0,55.54771423339844,55.54771423339844,55.54771423339844,55.54771423339844,2678.0,0.004194985433433807,0.0,56,56,56,56,56,56,56,56,56,56,56,56
GET,/api/breed/greyhound/list,1,0,55.29141426086426,55.29141426086426,55.29141426086426,55.29141426086426,42.0,0.004194985433433807,0.0,55,55,55,55,55,55,55,55,55,55,55,55
GET,/api/breed/havanese/images/random,1,0,49.05223846435547,49.05223846435547,49.05223846435547,49.05223846435547,131.0,0.004194985433433807,0.0,49,49,49,49,49,49,49,49,49,49,49,49
GET,/api/breed/havanese/images/random/31,1,0,53.754568099975586,53.754568099975586,53.754568099975586,53.754568099975586,537.0,0.004194985433433807,0.0,54,54,54,54,54,54,54,54,54,54,54,54
GET,/api/breed/havanese/images/random/32,1,0,60.74857711791992,60.74857711791992,60.74857711791992,60.74857711791992,537.0,0.004194985433433807,0.0,61,61,61,61,61,61,61,61,61,61,61,61
GET,/api/breed/havanese/images/random/53,1,0,52.99782752990723,52.99782752990723,52.99782752990723,52.99782752990723,537.0,0.004194985433433807,0.0,53,53,53,53,53,53,53,53,53,53,53,53
GET,/api/breed/hound/afghan/images/random,1,0,56.99968338012695,56.99968338012695,56.99968338012695,56.99968338012695,99.0,0.004194985433433807,0.0,57,57,57,57,57,57,57,57,57,57,57,57
GET,/api/breed/hound/basset/images,1,0,65.7796859741211,65.7796859741211,65.7796859741211,65.7796859741211,12173.0,0.004194985433433807,0.0,66,66,66,66,66,66,66,66,66,66,66,66
GET,/api/breed/hound/basset/images/random,2,0,56,57.84749984741211,55.67026138305664,60.02473831176758,99.0,0.008389970866867614,0.0,60,60,60,60,60,60,60,60,60,60,60,60
GET,/api/breed/hound/basset/images/random/36,1,0,55.257320404052734,55.257320404052734,55.257320404052734,55.257320404052734,2531.0,0.004194985433433807,0.0,55,55,55,55,55,55,55,55,55,55,55,55
GET,/api/breed/hound/english/images,1,0,63.062429428100586,63.062429428100586,63.062429428100586,63.062429428100586,10979.0,0.004194985433433807,0.0,63,63,63,63,63,63,63,63,63,63,63,63
