"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1597344435","1","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1597344437","3","","Aggregated",0.00,0.00,140,140,250,250,250,250,250,250,250,250,250,250,4,0,59,128,57,252,1071
"1597344439","4","","Aggregated",1.00,0.00,120,140,150,150,250,250,250,250,250,250,250,250,8,0,71,113,55,252,1413
"1597344441","6","","Aggregated",1.50,0.00,71,130,140,150,150,250,250,250,250,250,250,250,14,0,64,101,51,252,1183
"1597344443","8","","Aggregated",1.83,0.00,68,130,140,150,160,250,250,250,250,250,250,250,19,0,68,99,51,252,1494
"1597344445","10","","Aggregated",2.12,0.00,69,130,150,150,160,160,250,250,250,250,250,250,24,0,68,99,51,252,1614
"1597344447","10","","Aggregated",2.10,0.00,64,71,140,150,150,160,160,160,160,160,160,160,28,0,63,92,42,252,1913
"1597344449","10","","Aggregated",2.30,0.00,57,68,130,140,150,160,160,160,160,160,160,160,31,0,61,88,42,252,2144
"1597344451","10","","Aggregated",2.40,0.00,57,61,69,140,160,160,160,160,160,160,160,160,33,0,59,85,42,252,2125
"1597344454","10","","Aggregated",2.00,0.00,56,61,63,67,70,160,160,160,160,160,160,160,38,0,59,82,42,252,1901
"1597344456","10","","Aggregated",2.00,0.00,52,56,63,63,70,93,93,93,93,93,93,93,41,0,59,81,42,252,1771
"1597344458","10","","Aggregated",1.80,0.00,56,63,67,70,71,93,93,93,93,93,93,93,44,0,58,79,42,252,1920
"1597344460","10","","Aggregated",1.80,0.00,57,67,68,70,74,93,93,93,93,93,93,93,48,0,58,78,42,252,2102
"1597344462","10","","Aggregated",1.70,0.00,57,68,70,71,74,93,93,93,93,93,93,93,50,0,57,77,42,252,2053
"1597344464","10","","Aggregated",1.70,0.00,56,57,68,71,74,93,93,93,93,93,93,93,54,0,57,75,42,252,2167
"1597344466","10","","Aggregated",1.50,0.00,57,61,66,68,74,74,74,74,74,74,74,74,57,0,57,75,42,252,2301
"1597344468","10","","Aggregated",1.50,0.00,56,57,61,66,74,86,86,86,86,86,86,86,62,0,57,73,42,252,2236
"1597344470","10","","Aggregated",1.60,0.00,56,57,63,66,74,86,86,86,86,86,86,86,64,0,57,73,42,252,2211
"1597344472","10","","Aggregated",1.60,0.00,57,61,66,66,74,86,86,86,86,86,86,86,68,0,57,72,42,252,2114
"1597344474","10","","Aggregated",1.50,0.00,57,61,65,65,71,86,86,86,86,86,86,86,71,0,57,71,42,252,2058
"1597344476","10","","Aggregated",1.80,0.00,54,57,63,65,71,86,86,86,86,86,86,86,74,0,57,71,42,252,2063
"1597344478","10","","Aggregated",1.70,0.00,57,59,63,63,67,71,71,71,71,71,71,71,79,0,57,70,42,252,2111
"1597344480","10","","Aggregated",1.80,0.00,57,59,62,65,67,71,71,71,71,71,71,71,82,0,57,69,42,252,2061
"1597344482","10","","Aggregated",1.70,0.00,56,59,64,64,67,160,160,160,160,160,160,160,86,0,57,70,42,252,2106
"1597344484","10","","Aggregated",1.70,0.00,56,59,64,64,67,160,160,160,160,160,160,160,88,0,57,70,42,252,2087
"1597344486","10","","Aggregated",1.70,0.00,59,64,65,67,90,160,160,160,160,160,160,160,91,0,57,70,42,252,2068
