Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/api/breed/affenpinscher/images/random,2,0,50.481557846069336,65.5667781829834,50.481557846069336,80.65199851989746,100.0,0.0033352577359028923,0.0,81,81,81,81,81,81,81,81,81,81,81,81
GET,/api/breed/affenpinscher/images/random/18,1,0,59.389352798461914,59.389352798461914,59.389352798461914,59.389352798461914,1299.0,0.0016676288679514462,0.0,59,59,59,59,59,59,59,59,59,59,59,59
GET,/api/breed/affenpinscher/images/random/24,1,0,56.708335876464844,56.708335876464844,56.708335876464844,56.708335876464844,1721.0,0.0016676288679514462,0.0,57,57,57,57,57,57,57,57,57,57,57,57
GET,/api/breed/affenpinscher/images/random/28,1,0,52.57368087768555,52.57368087768555,52.57368087768555,52.57368087768555,1999.0,0.0016676288679514462,0.0,53,53,53,53,53,53,53,53,53,53,53,53
GET,/api/breed/affenpinscher/images/random/46,1,0,52.20341682434082,52.20341682434082,52.20341682434082,52.20341682434082,3267.0,0.0016676288679514462,0.0,52,52,52,52,52,52,52,52,52,52,52,52
GET,/api/breed/affenpinscher/images/random/55,1,0,54.92258071899414,54.92258071899414,54.92258071899414,54.92258071899414,3912.0,0.0016676288679514462,0.0,55,55,55,55,55,55,55,55,55,55,55,55
GET,/api/breed/african/images/random,6,0,54,64.86022472381592,50.01354217529297,112.50686645507812,94.0,0.010005773207708677,0.0,57,57,62,62,110,110,110,110,110,110,110,110
GET,/api/breed/airedale/images/random,2,0,50,62.26623058319092,49.74627494812012,74.78618621826172,94.5,0.0033352577359028923,0.0,75,75,75,75,75,75,75,75,75,75,75,75
GET,/api/breed/airedale/images/random/13,1,0,49.02386665344238,49.02386665344238,49.02386665344238,49.02386665344238,876.0,0.0016676288679514462,0.0,49,49,49,49,49,49,49,49,49,49,49,49
GET,/api/breed/airedale/images/random/16,1,0,49.405813217163086,49.405813217163086,49.405813217163086,49.405813217163086,1070.0,0.0016676288679514462,0.0,49,49,49,49,49,49,49,49,49,49,49,49
GET,/api/breed/airedale/images/random/27,1,0,75.14715194702148,75.14715194702148,75.14715194702148,75.14715194702148,1783.0,0.0016676288679514462,0.0,75,75,75,75,75,75,75,75,75,75,75,75
GET,/api/breed/airedale/images/random/4,1,0,56.63633346557617,56.63633346557617,56.63633346557617,56.63633346557617,292.0,0.0016676288679514462,0.0,57,57,57,57,57,57,57,57,57,57,57,57
GET,/api/breed/airedale/images/random/41,1,0,54.317474365234375,54.317474365234375,54.317474365234375,54.317474365234375,2695.0,0.0016676288679514462,0.0,54,54,54,54,54,54,54,54,54,54,54,54
GET,/api/breed/airedale/images/random/46,1,0,68.21584701538086,68.21584701538086,68.21584701538086,68.21584701538086,3016.0,0.0016676288679514462,0.0,68,68,68,68,68,68,68,68,68,68,68,68
GET,/api/breed/akita/images/random,2,0,55.081844329833984,58.55727195739746,55.081844329833984,62.03269958496094,89.0,0.0033352577359028923,0.0,62,62,62,62,62,62,62,62,62,62,62,62
GET,/api/breed/akita/images/random/19,1,0,80.0485610961914,80.0485610961914,80.0485610961914,80.0485610961914,620.0,0.0016676288679514462,0.0,80,80,80,80,80,80,80,80,80,80,80,80
