"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1597344843","1","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1597344845","7","","Aggregated",0.00,0.00,83,130,140,140,150,150,150,150,150,150,150,150,12,0,83,104,44,209,1121
"1597344847","13","","Aggregated",5.50,0.00,97,130,140,150,160,160,160,160,160,160,160,160,25,0,97,102,44,209,1253
"1597344849","19","","Aggregated",6.00,0.00,71,130,140,140,150,160,160,160,160,160,160,160,40,0,71,97,42,209,1160
"1597344851","20","","Aggregated",6.20,0.00,71,130,130,140,150,160,160,160,160,160,160,160,45,0,71,95,40,209,1531
"1597344853","20","","Aggregated",6.29,0.00,64,120,130,130,150,160,160,160,160,160,160,160,55,0,64,88,40,209,1396
"1597344855","20","","Aggregated",5.50,0.00,58,69,97,130,140,160,160,160,160,160,160,160,63,0,60,84,40,209,1261
"1597344857","20","","Aggregated",5.40,0.00,55,60,65,70,130,130,150,150,150,150,150,150,69,0,59,81,40,209,1352
"1597344859","20","","Aggregated",4.50,0.00,52,55,59,60,69,70,79,79,79,79,79,79,72,0,58,80,40,209,1326
"1597344861","20","","Aggregated",3.80,0.00,53,55,59,60,65,70,79,79,79,79,79,79,82,0,56,76,40,209,1256
"1597344863","20","","Aggregated",3.20,0.00,53,55,59,60,64,69,70,70,70,70,70,70,86,0,56,75,40,209,1250
"1597344865","20","","Aggregated",3.10,0.00,53,56,61,62,68,70,95,95,95,95,95,95,95,0,57,74,40,209,1270
"1597344867","20","","Aggregated",3.10,0.00,55,60,62,63,68,73,95,95,95,95,95,95,103,0,57,73,40,209,1318
"1597344869","20","","Aggregated",3.40,0.00,55,61,63,67,70,75,95,95,95,95,95,95,109,0,56,72,40,209,1279
"1597344871","20","","Aggregated",3.70,0.00,55,61,63,67,70,75,95,95,95,95,95,95,115,0,56,71,38,209,1374
"1597344873","20","","Aggregated",3.00,0.00,55,61,62,63,70,75,95,95,95,95,95,95,122,0,56,70,38,209,1394
"1597344875","20","","Aggregated",3.30,0.00,55,56,61,63,75,81,84,84,84,84,84,84,128,0,56,69,38,209,1357
"1597344877","20","","Aggregated",3.20,0.00,53,55,61,61,75,84,140,140,140,140,140,140,134,0,56,69,38,209,1418
"1597344879","20","","Aggregated",2.90,0.00,55,56,59,61,67,84,140,140,140,140,140,140,141,0,56,68,38,209,1424
"1597344881","20","","Aggregated",3.10,0.00,55,57,59,61,67,84,140,140,140,140,140,140,148,0,56,68,38,209,1446
"1597344883","20","","Aggregated",3.40,0.00,56,57,62,67,81,130,140,140,140,140,140,140,154,0,56,68,38,209,1437
"1597344885","20","","Aggregated",3.30,0.00,55,57,61,62,73,130,140,140,140,140,140,140,161,0,56,67,38,209,1411
"1597344887","20","","Aggregated",3.30,0.00,55,57,59,61,69,80,130,130,130,130,130,130,167,0,56,67,38,209,1432
"1597344890","20","","Aggregated",3.30,0.00,56,59,66,66,72,80,130,130,130,130,130,130,177,0,56,66,38,209,1410
"1597344892","20","","Aggregated",3.30,0.00,56,59,66,66,72,73,74,74,74,74,74,74,180,0,56,66,38,209,1390
"1597344894","20","","Aggregated",3.10,0.00,54,56,61,62,66,72,74,74,74,74,74,74,190,0,56,65,37,209,1400
"1597344896","20","","Aggregated",3.50,0.00,55,58,62,66,66,72,74,74,74,74,74,74,193,0,56,65,37,209,1406
"1597344898","20","","Aggregated",3.20,0.00,54,56,62,63,66,74,81,81,81,81,81,81,204,0,55,65,37,209,1472
"1597344900","20","","Aggregated",3.10,0.00,54,56,59,62,66,74,81,81,81,81,81,81,208,0,55,65,37,209,1540
"1597344902","20","","Aggregated",3.10,0.00,53,55,58,59,64,71,81,81,81,81,81,81,218,0,55,64,37,209,1584
"1597344904","20","","Aggregated",3.50,0.00,52,55,56,58,64,71,81,81,81,81,81,81,222,0,55,64,37,209,1585
"1597344906","20","","Aggregated",3.00,0.00,52,55,56,57,63,64,71,71,71,71,71,71,226,0,55,63,37,209,1620
"1597344908","20","","Aggregated",3.20,0.00,55,58,60,61,64,71,150,150,150,150,150,150,237,0,55,64,37,209,1634
"1597344910","20","","Aggregated",3.30,0.00,55,58,61,62,62,86,150,150,150,150,150,150,243,0,55,64,37,209,1622
"1597344913","20","","Aggregated",3.30,0.00,57,59,61,62,69,86,150,150,150,150,150,150,250,0,55,63,37,209,1695
"1597344915","20","","Aggregated",3.30,0.00,58,59,62,62,69,150,150,150,150,150,150,150,256,0,56,63,37,209,1676
"1597344917","20","","Aggregated",3.50,0.00,58,59,61,62,73,86,150,150,150,150,150,150,261,0,56,63,37,209,1653
